FECHA,CIUDAD,LUGAR,HORA,TICKETS,INSTAGRAM
13 FEB 2026,"PUNTA ARENAS, CHILE"," CELEBRITY PUB",20:00,https://tickets.example.com,https://instagram.com/post1
20 FEB 2026,"PUNTA ARENAS, CHILE"," CELEBRITY PUB",20:30,https://tickets.example.com,""""""
